,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
2015-09-01QMB_Only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01QMB_Only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01QMB_Only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01QMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01SLMB_only,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01SLMB_plus_Full,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01SLMB_plus_Full,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01SLMB_plus_Full,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01SLMB_plus_Full,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01SLMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01SLMB_plus_Full,District of Columbia,Rhode Island,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01SLMB_plus_Full,District of Columbia,Rhode Island,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01SLMB_plus_Full,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01SLMB_plus_Full,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01SLMB_plus_Full,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01SLMB_plus_Full,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01SLMB_plus_Full,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01SLMB_plus_Full,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01SLMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01SLMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01SLMB_plus_Full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01QDWI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01QDWI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01QDWI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01QDWI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01QDWI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01QDWI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01QDWI,Hawaiʻi,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01QDWI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01QDWI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01QDWI,District of Columbia,Hawaiʻi,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01QDWI,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01QDWI,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01QDWI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01QDWI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01QDWI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01QDWI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01QI,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01Other_full,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01Public_Total,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01Public_Total,District of Columbia,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01Public_Total,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01Public_Total,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01Public_Total,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01Public_Total,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01Public_Total,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01Public_Total,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-01Public_Total,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01Public_Total,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01Public_Total,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01Public_Total,American Samoa,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
